client_id,full_name,date_of_birth,client_type,industry,pep_status,so_funds_desc,so_wealth_doc_type,annual_income,estimated_net_worth,transaction_volume_usd,jurisdiction_risk_level,has_offshore_entities,sanction_list_hit,adverse_media,risk_score,risk_category,last_review_date,next_review_due,operating_country,total_txn_amount,max_txn_amount,txn_count,flagged_txns,adjusted_risk_score,adjusted_risk_category,reason_of_risk,triggered_risk_events,risk_evaluated_at,evaluated_by
C00011,The Lyons Trust,,Trust,Consulting,No,"Engineer, mining",Tax Return,0,5024115,118971,Medium,True,False,True,63,Medium,2025-07-13,2027-12-23,Ireland,53967.5,2559.76,93,13,20,Medium,"Income Mismatch, Media, Time Risk, Transaction",Adverse Media; Flagged transactions exist; Txn > 5x Income; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00012,The Dougherty Trust,,Trust,Investment,No,Proofreader,Trust Deed,0,8617169,164637,High,True,True,False,58,Medium,2024-09-17,2026-09-09,Latvia,138963.72,8400.1,88,14,40,Medium,"Identity, Income Mismatch, Sanction, Time Risk, Transaction",Invalid Source of Wealth Doc; Sanctioned Country; Flagged transactions exist; Txn > 5x Income; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00013,The Crawford Trust,,Trust,Investment,Related,Television production assistant,Exchange Statement,0,426765,34325,High,False,False,True,61,Medium,2024-12-26,2027-02-07,Finland,185357.85,17315.43,60,8,35,Medium,"Identity, Income Mismatch, Media, PEP, Time Risk, Transaction",Invalid Source of Wealth Doc; PEP = Related; Adverse Media; Flagged transactions exist; Txn > 5x Income; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00014,Evelyn Garcia,1975-03-26,Individual,,Yes,"Designer, ceramics/pottery",Trust Deed,274798,1261193,144645,High,True,True,False,30,Low,2025-03-24,2026-03-30,,623791.47,50923.94,54,7,53,High,"Identity, PEP, Sanction, Time Risk, Transaction",Invalid Source of Wealth Doc; Sanctioned Country; PEP = Yes; High total txn amount; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00015,Hendricks-Nichols Ltd.,,Corporate,Consulting,Yes,Food technologist,Financials,0,3474754,191895,Low,False,False,False,47,Medium,2025-02-23,2025-08-11,Spain,59162.69,4632.87,41,4,30,Medium,"Income Mismatch, PEP, Time Risk, Transaction",PEP = Yes; Flagged transactions exist; Txn > 5x Income; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00016,The Wright Trust,,Trust,Crypto Trading,No,"Librarian, public",Tax Return,0,9970182,150207,Low,True,True,True,63,Medium,2024-09-05,2026-10-23,United Kingdom,155772.6,27951.79,28,3,40,Medium,"Income Mismatch, Media, Sanction, Time Risk, Transaction",Sanctioned Country; Adverse Media; Flagged transactions exist; Txn > 5x Income; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00017,The Terrell Trust,,Trust,Manufacturing,No,"Restaurant manager, fast food",Land Title,0,1288789,139782,Low,True,True,False,24,Low,2025-05-15,2026-04-28,Austria,103074.92,13088.85,49,9,35,Medium,"Income Mismatch, Sanction, Time Risk, Transaction",Sanctioned Country; Flagged transactions exist; Txn > 5x Income; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00018,The Lawson Trust,,Trust,Real Estate,No,Transport planner,Audit Report,0,8035169,111708,Medium,True,True,True,80,High,2024-10-09,2026-03-19,Norway,179008.97,13694.54,65,4,40,Medium,"Income Mismatch, Media, Sanction, Time Risk, Transaction",Sanctioned Country; Adverse Media; Flagged transactions exist; Txn > 5x Income; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00019,"Mcmahon, Thompson and Martin Ltd.",,Corporate,Crypto Trading,No,Academic librarian,Trust Deed,55795,1751177,20889,Medium,False,False,True,26,Low,2025-03-13,2026-12-10,Portugal,51489.95,7470.62,32,5,20,Medium,"Identity, Media, Time Risk, Transaction",Invalid Source of Wealth Doc; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00020,Charles Knight,1960-12-19,Individual,,No,Information systems manager,Audit Report,166037,7861611,70485,Low,True,False,True,74,High,2024-10-24,2025-10-22,,197584.03999999998,22518.55,37,5,15,Low,"Media, Time Risk, Transaction",Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00021,The Christensen Trust,,Trust,Consulting,Yes,Broadcast presenter,Audit Report,40860,6918496,132307,High,False,True,False,50,Medium,2025-05-15,2027-10-30,Norway,65055.14,7264.07,33,5,45,Medium,"PEP, Sanction, Time Risk, Transaction",Sanctioned Country; PEP = Yes; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00022,Charles Boone,1993-06-08,Individual,,No,Training and development officer,Exchange Statement,169552,7196887,187607,High,False,False,True,53,Medium,2025-01-04,2026-06-19,,210244.5,30321.88,26,2,20,Medium,"Identity, Media, Time Risk, Transaction",Invalid Source of Wealth Doc; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00023,Norma Watson,1976-10-20,Individual,,Related,Oceanographer,Tax Return,184419,1059074,18144,Low,False,True,True,89,High,2025-04-10,2028-04-29,,300602.95,17067.84,76,11,45,Medium,"Media, PEP, Sanction, Time Risk, Transaction",Sanctioned Country; PEP = Related; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00024,Richard Morris,2000-07-02,Individual,,No,Lexicographer,Exchange Statement,82855,9657567,69543,Low,True,False,False,50,Medium,2024-08-01,2028-01-24,,130082.31,6224.45,95,10,15,Low,"Identity, Time Risk, Transaction",Invalid Source of Wealth Doc; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00025,Pugh-Sullivan Ltd.,,Corporate,Real Estate,No,Barrister's clerk,Exchange Statement,116820,2295773,181079,Low,False,False,False,53,Medium,2024-10-20,2025-11-06,Finland,119149.31999999999,10354.46,37,4,15,Low,"Identity, Time Risk, Transaction",Invalid Source of Wealth Doc; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00026,William Miller,1986-02-16,Individual,,No,"Engineer, site",Tax Return,131754,8587336,74520,High,True,False,True,32,Low,2025-02-18,2026-02-15,,154152.14,6809.01,97,12,15,Low,"Media, Time Risk, Transaction",Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00027,Austin-Medina Ltd.,,Corporate,Finance,No,Chief Marketing Officer,Financials,94886,8974152,7050,Medium,False,True,True,58,Medium,2024-08-30,2028-05-13,Netherlands,196073.72,12364.93,67,6,35,Medium,"Media, Sanction, Time Risk, Transaction",Sanctioned Country; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00028,Joshua Soto,1962-01-30,Individual,,Yes,Chief Technology Officer,Land Title,167721,3633779,193117,Medium,False,True,False,39,Low,2024-08-16,2027-04-11,,327055.94,22186.89,52,3,45,Medium,"PEP, Sanction, Time Risk, Transaction",Sanctioned Country; PEP = Yes; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00029,Bennett-Osborne Ltd.,,Corporate,Investment,No,Software engineer,Tax Return,46265,159486,92439,Medium,True,True,True,55,Medium,2025-01-14,2026-02-27,Croatia,178995.44,13592.14,39,6,40,Medium,"Media, Net Worth Mismatch, Sanction, Time Risk, Transaction",Sanctioned Country; Adverse Media; Flagged transactions exist; Txn > Net Worth; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00030,The Jordan Trust,,Trust,Manufacturing,No,Probation officer,Trust Deed,77194,2600715,148023,Low,True,False,True,29,Low,2025-06-02,2027-11-26,France,195612.21,13698.81,84,12,20,Medium,"Identity, Media, Time Risk, Transaction",Invalid Source of Wealth Doc; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00031,Charles Carey,1968-03-13,Individual,,No,Fast food restaurant manager,Land Title,130140,4286414,179832,Low,True,False,False,25,Low,2024-09-26,2027-04-17,,218635.19,19793.41,52,3,10,Low,"Time Risk, Transaction",Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00032,Vernon Cox,1960-02-25,Individual,,Yes,Geochemist,Exchange Statement,32995,3109172,198085,High,False,False,True,42,Medium,2025-07-18,2027-07-01,,60380.86,6937.8,61,7,35,Medium,"Identity, Media, PEP, Time Risk, Transaction",Invalid Source of Wealth Doc; PEP = Yes; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00033,Kenneth Brown,1995-02-22,Individual,,No,"Radiographer, therapeutic",Exchange Statement,136619,3448276,125665,Low,False,False,True,24,Low,2024-09-22,2026-05-15,,267773.23,12784.51,89,7,20,Medium,"Identity, Media, Time Risk, Transaction",Invalid Source of Wealth Doc; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00034,Robert Mckinney,1984-01-13,Individual,,No,Interior and spatial designer,Tax Return,166341,5991254,173160,Low,False,False,True,55,Medium,2024-08-15,2025-10-10,,352642.94,34261.89,95,13,15,Low,"Media, Time Risk, Transaction",Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00035,Castro Inc Ltd.,,Corporate,Real Estate,No,Catering manager,Tax Return,84131,7390770,95619,High,False,False,True,24,Low,2025-06-19,2026-05-09,United Kingdom,77049.89,12888.04,20,6,15,Low,"Media, Time Risk, Transaction",Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00036,The Wilson Trust,,Trust,Real Estate,No,"Teacher, early years/pre",Financials,100263,9133725,185055,Medium,True,False,False,20,Low,2024-10-27,2028-01-10,Portugal,95376.7,3985.47,89,7,10,Low,"Time Risk, Transaction",Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00037,The Brown Trust,,Trust,Finance,No,Interpreter,Trust Deed,56023,5138571,137939,Medium,False,False,False,35,Low,2025-07-22,2026-09-03,Sweden,122465.39,14975.05,25,3,15,Low,"Identity, Time Risk, Transaction",Invalid Source of Wealth Doc; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00038,The Lynn Trust,,Trust,Finance,No,Hydrologist,Trust Deed,81090,3019694,166353,Low,False,False,True,68,Medium,2025-01-17,2026-11-28,Portugal,114713.29,14939.05,68,5,20,Medium,"Identity, Media, Time Risk, Transaction",Invalid Source of Wealth Doc; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00039,"Ramos, Owens and Johnson Ltd.",,Corporate,Real Estate,No,Chiropodist,Exchange Statement,107221,7511939,120909,Low,True,False,True,61,Medium,2024-08-21,2027-11-07,Finland,174427.17,11581.82,45,4,20,Medium,"Identity, Media, Time Risk, Transaction",Invalid Source of Wealth Doc; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00040,Rodriguez Group Ltd.,,Corporate,Consulting,No,Financial risk analyst,Audit Report,104820,5307974,63888,Medium,True,True,True,31,Low,2024-12-14,2026-10-10,Latvia,194246.36,16794.99,50,5,35,Medium,"Media, Sanction, Time Risk, Transaction",Sanctioned Country; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00041,Jennifer Jones,1970-01-16,Individual,,Related,Seismic interpreter,Exchange Statement,237286,9758155,55970,Medium,False,False,False,29,Low,2024-07-27,2028-05-27,,488809.18,24161.53,95,9,25,Medium,"Identity, PEP, Time Risk, Transaction",Invalid Source of Wealth Doc; PEP = Related; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00042,John Torres,1991-05-15,Individual,,No,Commercial art gallery manager,Exchange Statement,134735,3050888,187429,Low,False,True,True,33,Low,2025-07-04,2026-01-07,,237133.56,12490.23,91,9,40,Medium,"Identity, Media, Sanction, Time Risk, Transaction",Invalid Source of Wealth Doc; Sanctioned Country; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00043,Davidson and Sons Ltd.,,Corporate,Real Estate,Yes,"Geneticist, molecular",Exchange Statement,40769,8568772,116867,Medium,False,True,False,60,Medium,2025-02-05,2027-08-22,Latvia,114499.74,11375.35,32,2,50,High,"Identity, PEP, Sanction, Time Risk, Transaction",Invalid Source of Wealth Doc; Sanctioned Country; PEP = Yes; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00044,"Coleman, Wyatt and Cox Ltd.",,Corporate,Investment,No,Health and safety inspector,Exchange Statement,99735,4113879,76984,Medium,False,True,False,86,High,2024-08-10,2025-07-30,Switzerland,103695.23,4744.37,99,7,35,Medium,"Identity, Sanction, Time Risk, Transaction",Invalid Source of Wealth Doc; Sanctioned Country; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00045,Arnold-Diaz Ltd.,,Corporate,Finance,No,Structural engineer,Audit Report,102955,3979923,105410,Low,True,True,True,37,Low,2025-04-24,2027-05-20,Croatia,191413.39,24201.34,41,4,35,Medium,"Media, Sanction, Time Risk, Transaction",Sanctioned Country; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00046,"Hutchinson, Rodgers and Pope Ltd.",,Corporate,Finance,No,Database administrator,Exchange Statement,104925,6634336,158112,Low,True,False,False,46,Medium,2025-02-20,2025-09-18,Spain,101043.95,5148.27,89,10,15,Low,"Identity, Time Risk, Transaction",Invalid Source of Wealth Doc; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00047,Carroll-Thomas Ltd.,,Corporate,Finance,No,Archaeologist,Financials,107969,9262579,163139,Medium,True,False,True,73,High,2025-07-08,2027-01-31,Netherlands,149826.84,9297.43,75,5,15,Low,"Media, Time Risk, Transaction",Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00048,"Miller, Ross and Jacobs Ltd.",,Corporate,Crypto Trading,No,Optometrist,Trust Deed,45311,2868991,127523,Low,True,True,False,71,High,2025-03-22,2026-03-22,France,91240.58,5690.09,86,8,35,Medium,"Identity, Sanction, Time Risk, Transaction",Invalid Source of Wealth Doc; Sanctioned Country; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00049,Laura Keller,1986-02-21,Individual,,No,Agricultural consultant,Audit Report,46363,4464698,104379,Low,False,True,False,79,High,2024-10-01,2026-12-23,,60271.88,3128.41,84,11,30,Medium,"Sanction, Time Risk, Transaction",Sanctioned Country; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00050,"Wilson, Fernandez and Jones Ltd.",,Corporate,Investment,Yes,Fish farm manager,Land Title,93707,1474158,128288,Low,True,True,False,73,High,2024-11-04,2026-03-29,Netherlands,167841.52,9427.01,65,6,45,Medium,"PEP, Sanction, Time Risk, Transaction",Sanctioned Country; PEP = Yes; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00051,The Jones Trust,,Trust,,No,Psychiatrist,Audit Report,68693,3444717,10342,Medium,True,True,True,23,Low,2024-12-06,2026-11-11,Latvia,160286.14,8031.85,87,9,35,Medium,"Media, Sanction, Time Risk, Transaction",Sanctioned Country; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00052,The Carey Trust,,Trust,,No,Oceanographer,Land Title,111932,2915034,163831,Low,True,True,False,52,Medium,2024-11-28,2026-09-30,Malta,78815.87,5083.41,89,5,30,Medium,"Sanction, Time Risk, Transaction",Sanctioned Country; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00053,The Johnson Trust,,Trust,,Related,Software engineer,Exchange Statement,65658,3427421,24922,Low,True,True,False,68,Medium,2024-11-29,2025-09-05,Denmark,75769.43000000001,6890.38,61,3,45,Medium,"Identity, PEP, Sanction, Time Risk, Transaction",Invalid Source of Wealth Doc; Sanctioned Country; PEP = Related; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00054,The Nichols Trust,,Trust,Investment,No,Clinical embryologist,Tax Return,58431,8588613,174749,Low,False,True,False,67,Medium,2025-03-12,2027-05-31,Cyprus,154920.63,9082.63,81,10,30,Medium,"Sanction, Time Risk, Transaction",Sanctioned Country; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00055,Sharon Rodriguez,1965-10-30,Individual,,No,Musician,Trust Deed,100211,7406261,51173,Low,False,False,False,78,High,2025-07-08,2028-01-06,,94198.31,7670.93,42,3,15,Low,"Identity, Time Risk, Transaction",Invalid Source of Wealth Doc; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00056,The Dean Trust,,Trust,Consulting,No,Solicitor,Land Title,42747,7663202,68927,Medium,False,False,False,31,Low,2025-04-16,2028-05-31,Romania,52698.4,3229.86,85,8,10,Low,"Time Risk, Transaction",Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00057,Pena Group Ltd.,,Corporate,Investment,No,Interior and spatial designer,Land Title,99150,5809938,78310,Low,False,True,True,65,Medium,2025-04-07,2026-02-03,Czech Republic,89918.83,5668.79,81,6,35,Medium,"Media, Sanction, Time Risk, Transaction",Sanctioned Country; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00058,Joseph Washington,1966-05-06,Individual,,No,"Surveyor, building",Trust Deed,269609,8334615,122486,Low,True,True,False,50,Medium,2024-09-11,2026-05-19,,250736.37,12023.44,94,10,35,Medium,"Identity, Sanction, Time Risk, Transaction",Invalid Source of Wealth Doc; Sanctioned Country; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00059,"Fernandez, Alvarado and Smith Ltd.",,Corporate,Manufacturing,No,"Teacher, adult education",Exchange Statement,105725,9385735,144177,Medium,False,False,False,67,Medium,2024-11-17,2027-04-16,United Kingdom,166837.83,12055.51,66,2,15,Low,"Identity, Time Risk, Transaction",Invalid Source of Wealth Doc; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00060,The Rodriguez Trust,,Trust,Crypto Trading,No,TEFL teacher,Trust Deed,75773,3331028,87719,Low,True,True,True,35,Low,2025-03-16,2028-05-07,Romania,95771.52,10457.24,47,3,40,Medium,"Identity, Media, Sanction, Time Risk, Transaction",Invalid Source of Wealth Doc; Sanctioned Country; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00061,The Merritt Trust,,Trust,Crypto Trading,No,"Doctor, general practice",Financials,107435,4847930,31352,Low,True,False,True,87,High,2025-04-05,2025-12-03,Switzerland,179339.5,22131.97,60,8,15,Low,"Media, Time Risk, Transaction",Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00062,Andrew Lewis,1961-05-26,Individual,,No,Farm manager,Land Title,43863,1014794,150059,Medium,False,True,False,36,Low,2025-04-11,2026-11-19,,89041.91,13837.27,30,2,30,Medium,"Sanction, Time Risk, Transaction",Sanctioned Country; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00063,Eugene Lopez,1993-09-02,Individual,,No,"Buyer, industrial",Land Title,116659,961958,71185,Low,False,True,True,76,High,2025-01-16,2027-04-29,,246150.49,13154.04,70,6,35,Medium,"Media, Sanction, Time Risk, Transaction",Sanctioned Country; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00064,Malone-Romero Ltd.,,Corporate,,No,Office manager,Audit Report,96886,9542881,84648,Medium,True,True,True,39,Low,2024-10-26,2026-03-11,Austria,75315.97,9895.8,40,2,35,Medium,"Media, Sanction, Time Risk, Transaction",Sanctioned Country; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00065,The Chang Trust,,Trust,Consulting,No,Clinical biochemist,Exchange Statement,106803,7658378,121056,Low,False,True,False,86,High,2025-05-22,2027-05-16,Malta,75892.05,5797.97,64,3,35,Medium,"Identity, Sanction, Time Risk, Transaction",Invalid Source of Wealth Doc; Sanctioned Country; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00066,The Todd Trust,,Trust,Manufacturing,No,Fisheries officer,Land Title,71551,1462099,46171,Medium,True,False,True,47,Medium,2025-07-15,2026-01-29,Germany,51293.44,6045.16,33,5,15,Low,"Media, Time Risk, Transaction",Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00067,Christina Crawford,1988-09-13,Individual,,No,Investment analyst,Land Title,37112,3983526,80524,Medium,False,False,True,80,High,2025-05-13,2027-06-12,,61605.92,4115.53,65,7,15,Low,"Media, Time Risk, Transaction",Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00068,Stokes-Myers Ltd.,,Corporate,Investment,No,Product designer,Exchange Statement,51394,2025626,147753,Low,True,True,False,45,Medium,2025-07-07,2026-03-29,Austria,159400.38,10086.74,71,9,35,Medium,"Identity, Sanction, Time Risk, Transaction",Invalid Source of Wealth Doc; Sanctioned Country; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00069,Samuel Evans,1962-05-03,Individual,,No,"Scientist, research (life sciences)",Exchange Statement,85197,7963447,185532,Medium,False,False,False,56,Medium,2025-01-28,2028-03-24,,85196.97,7839.19,58,9,15,Low,"Identity, Time Risk, Transaction",Invalid Source of Wealth Doc; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00070,Hancock and Sons Ltd.,,Corporate,,No,Legal executive,Financials,109092,4300476,11780,Medium,True,True,True,61,Medium,2024-11-25,2027-11-11,Switzerland,117083.31,6057.29,90,10,35,Medium,"Media, Sanction, Time Risk, Transaction",Sanctioned Country; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00071,The Smith Trust,,Trust,,No,"Engineer, site",Trust Deed,43890,7519378,77917,Low,True,False,False,86,High,2024-08-17,2027-04-30,Greece,111678.31999999999,5332.76,95,12,15,Low,"Identity, Time Risk, Transaction",Invalid Source of Wealth Doc; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
